"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2012",13.75,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2012",18.184999,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2012",6.4109998,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2012",19.511,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2012",15.387,
"DNK","WAGEGAP","TOT","PC_MENWAGE","A","2012",7,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","2012",18.726,
"FRA","WAGEGAP","TOT","PC_MENWAGE","A","2012",13.673,
"DEU","WAGEGAP","TOT","PC_MENWAGE","A","2012",13.818,
"GRC","WAGEGAP","TOT","PC_MENWAGE","A","2012",6.8530002,
"HUN","WAGEGAP","TOT","PC_MENWAGE","A","2012",11.332,
"IRL","WAGEGAP","TOT","PC_MENWAGE","A","2012",8.3280001,
"ITA","WAGEGAP","TOT","PC_MENWAGE","A","2012",11.111,
"JPN","WAGEGAP","TOT","PC_MENWAGE","A","2012",26.524,
"KOR","WAGEGAP","TOT","PC_MENWAGE","A","2012",36.299,
"NZL","WAGEGAP","TOT","PC_MENWAGE","A","2012",6.1739998,
"NOR","WAGEGAP","TOT","PC_MENWAGE","A","2012",6.4070001,
"POL","WAGEGAP","TOT","PC_MENWAGE","A","2012",10.62,
"PRT","WAGEGAP","TOT","PC_MENWAGE","A","2012",16.315001,
"SVK","WAGEGAP","TOT","PC_MENWAGE","A","2012",15.965,
"ESP","WAGEGAP","TOT","PC_MENWAGE","A","2012",8.6479998,
"SWE","WAGEGAP","TOT","PC_MENWAGE","A","2012",15.13,
"CHE","WAGEGAP","TOT","PC_MENWAGE","A","2012",16.509001,
"GBR","WAGEGAP","TOT","PC_MENWAGE","A","2012",17.784,
"USA","WAGEGAP","TOT","PC_MENWAGE","A","2012",19.087,
"MEX","WAGEGAP","TOT","PC_MENWAGE","A","2012",13.556,
